Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy
0.1,1e-05,7,7,3,73.2380952380952,64.3741413871337,75.3333333333333,61.6266354309127,59.5758133551407,63.8325123152709,55.1855774959256,101.689700311263
0.1,0.0001,7,7,3,73.2380952380952,64.3741413871337,75.3333333333333,61.6266354309127,59.5758133551407,63.8325123152709,55.1855774959256,101.689700311263
0.1,0.001,7,7,3,74.047619047619,64.7160921187395,75.8571428571429,62.2220720034845,60.2755361580023,64.3087027914614,55.8952006890174,100.629633434567
0.1,0.01,7,7,3,73.3809523809524,64.5237016644029,75.5238095238095,62.0891502282048,60.3090028242779,63.9901477832512,55.76104087657,101.014761754968
0.1,0.1,7,7,3,73.6190476190476,64.1911245656586,75.2380952380952,61.4904952509583,59.6886689811036,63.4285714285714,55.0599353403935,102.000332132941
0.1,1,7,7,3,71.7619047619048,62.6701310868891,73.6190476190476,59.1935166207199,56.7190623839237,61.944170771757,52.2769129980975,106.831024090481
0.1,10,7,7,3,72.5238095238095,63.0980277947213,74.1904761904762,59.3469407342976,56.141906448954,62.9983579638752,52.352435431548,106.45818352596
1,1e-05,7,7,3,79.9047619047619,69.2254129707828,80.3809523809524,66.9091147929797,64.4410374104421,69.5960591133005,61.3288012241907,88.3719672666388
1,0.0001,7,7,3,79.9047619047619,69.2254129707828,80.3809523809524,66.9091147929797,64.4410374104421,69.5960591133005,61.3288012241907,88.3719672666388
1,0.001,7,7,3,79.6666666666667,68.7607116347207,80.1428571428572,66.5511860220235,64.1685320419446,69.1395730706076,60.9191496335828,89.6050453888379
1,0.01,7,7,3,80.4285714285714,69.7171368347766,80.8571428571429,67.3586448445893,64.9113727265853,70.0197044334975,61.8615758549475,86.9421304855652
1,0.1,7,7,3,81.5714285714286,70.9477565118387,82,68.9869962651257,66.5656269277634,71.6124794745484,63.771418331404,83.4650376678064
1,1,7,7,3,79.7619047619048,68.4066868154303,80.1428571428571,66.8484853702262,64.5047823070449,69.4055829228243,61.2745846515962,90.6148631912527
1,10,7,7,3,79.4285714285714,68.3281807698102,79.8095238095238,65.1650439723419,62.5225853265079,68.1018062397373,59.253827244311,90.9592417515327
10,1e-05,7,7,3,79.7619047619048,67.7681560653197,80.0476190476191,66.1425945966736,64.2260861474837,68.2266009852217,60.4838064798213,91.9790643563101
10,0.0001,7,7,3,79.7619047619048,67.7681560653197,80.0476190476191,66.1425945966736,64.2260861474837,68.2266009852217,60.4838064798213,91.9790643563101
10,0.001,7,7,3,79.6190476190476,67.5484869587449,79.9047619047619,65.9399819618511,64.0396456464674,68.0065681444992,60.2489604246975,92.5849630767974
10,0.01,7,7,3,79.5238095238095,67.6554090153262,79.7142857142857,65.9239328506087,63.9174486035713,68.111658456486,60.2231874610997,92.3960523583207
10,0.1,7,7,3,80.8571428571428,69.3869828450599,81.047619047619,67.6310520866999,65.6834585934704,69.7569786535304,62.2156334433833,87.4901669755897
10,1,7,7,3,80.8571428571429,69.5665488815829,81.4761904761905,68.0076908953194,66.3046463990643,69.8193760262726,62.6952841503103,86.7158427006484
10,10,7,7,3,78.5238095238095,66.7872460502077,78.8571428571429,63.6624067761429,61.4565204760563,66.0886699507389,57.5517430607407,95.0197842829358
100,1e-05,7,7,3,79.2380952380952,67.6975499497616,79.7142857142857,66.0903883992616,64.1434598083444,68.2233169129721,60.4190717792992,92.2704818844265
100,0.0001,7,7,3,79.2380952380952,67.6975499497616,79.7142857142857,66.0903883992616,64.1434598083444,68.2233169129721,60.4190717792992,92.2704818844265
100,0.001,7,7,3,79,67.6318768428499,79.6666666666667,65.9661620410429,64.0401615585797,68.0755336617405,60.2758822448616,92.4316216292276
100,0.01,7,7,3,78.9047619047619,67.4719138207355,79.5714285714286,65.8860775096605,63.9461983128297,68.0032840722496,60.1811946961596,92.8841475405108
100,0.1,7,7,3,79.6190476190476,68.3577611561204,80.2380952380953,66.4806061891217,64.6472295913177,68.440065681445,60.8968998166931,90.2294411326205
100,1,7,7,3,77.5238095238095,66.2190936320642,78.5714285714286,63.9658214603905,61.9727733302758,66.1477832512315,57.91950661816,96.4298477535629
100,10,7,7,3,77.4285714285714,65.256455656818,77.7142857142857,62.1137232753747,59.8575056501999,64.6108374384236,55.7295644800965,99.3935040583105
1000,1e-05,7,7,3,78,66.6599600826142,78.5238095238095,64.6451648542354,62.4390089957439,67.0574712643678,58.6992892425228,95.3704022597492
1000,0.0001,7,7,3,78.0476190476191,66.8851186575401,78.5714285714286,64.7123485825113,62.4249082320396,67.2216748768473,58.7679616314659,94.8090440005217
1000,0.001,7,7,3,77.6190476190476,66.4674418114301,78.1428571428571,64.2832532144691,62.041937386139,66.7422003284072,58.270963993263,95.9577967071715
1000,0.01,7,7,3,78.1428571428571,66.1194495397302,78.5238095238095,64.4134398401387,62.4493492570671,66.5451559934319,58.4594298499671,96.6953569944704
1000,0.1,7,7,3,79.1428571428571,67.2816451729248,79.3809523809524,65.3864629332135,63.437222388862,67.504105090312,59.597695701134,93.4003644523625
1000,1,7,7,3,76.9523809523809,65.149856365984,77.6190476190476,63.1147350525913,61.0553467885407,65.4154351395731,56.9024605499492,99.6180339663275
1000,10,7,7,3,75.6666666666667,63.1152251058732,75.9523809523809,59.7749705933771,57.3474566186391,62.4761904761905,52.9591676854035,105.551013583694
10000,1e-05,7,7,3,72.9047619047619,62.152113666533,73.5714285714286,60.2515675835452,55.8747000941555,65.4679802955665,53.2291761047988,111.139271098561
